,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
f1_score_mean,0.6719999999999999,0.6495006694584319,0.6530557028568164,0.6811587551373106,0.7083146475851771,0.7297137812198619,0.7249157684354759,0.7152692124886377,0.7191395507516404,0.756232995650277,0.7299423518916511,0.7532921328134885,0.7819004944515029,0.7643327607550581,0.7314148979356029,0.7294470593674891,0.7520210937811271,0.7343785949353525,0.7439299931950974,0.7853408206807515,0.7811086574181448,0.7671893082044103,0.7702344272461538,0.794711295417082,0.795749321936874,0.7934428228086956,0.7724385445277232,0.7940408273142499,0.7941558640868113,0.8104390081691685,0.7994108628969337,0.8182790845153731,0.8122482761968544,0.8079353697799284,0.8035281709457784,0.8017559178416886,0.8272740831261316,0.8200907653217813,0.8262682140279722,0.8307931096784618,0.8311864364875138,0.826868746269209,0.8307857945303743,0.8307015320679261,0.8274271354307643,0.8295282129329037,0.8399082169663032,0.8423415019281691,0.8434304568811551,0.8396165888553252,0.8468007213041002,0.8511358150118593,0.8539087475912128,0.8483132720621034,0.8557473254205318,0.8602260785008113,0.8666335084184371,0.8690307188507266,0.8670804118057124,0.8634318546713013,0.867449806719884,0.8726837832246102,0.8723096590119253,0.8728086565942828,0.8752173406018562,0.8663830630506034,0.8697996164137475,0.8709149493454046,0.8715108865117486,0.8723729231474338,0.8747671567487147,0.8733283627417745,0.8755728523379167,0.8745525982501213,0.8753313999429396,0.8753601153715612,0.8776773410929852,0.8791694873762472,0.874550219073323,0.8756785853371756,0.8772991921535784,0.8792956576222801,0.8799599665030431,0.8759428500529488,0.8763062039434834,0.8795355826748924,0.8803747602696163,0.8803888854446977,0.8789980182414985,0.8829795216550052,0.8846839614798416,0.8866690291536263,0.8837790023038057,0.8806221628492947,0.8809024939477176,0.8824820106233414,0.8839198175404664,0.8851813396368595,0.8854947177852937,0.8887424221445496
f1_score_sigma,1.1702778228589004e-16,0.03166349112157274,0.054808866237088555,0.04712333789535757,0.05381218383445743,0.04940884647904232,0.061639116508745026,0.0665306642509554,0.0629054727479494,0.05337145846659312,0.06751173336137573,0.0676218211881877,0.06281360633323628,0.0633105317052487,0.06676255608759336,0.06267818717810311,0.06247620955854113,0.07615666707387433,0.07660961849854034,0.05393155641826846,0.057962407840725885,0.06184591654740767,0.07077926522185102,0.05244594661256104,0.048815115666506266,0.056338995991647454,0.06278900455265155,0.05323795453543452,0.053126211105990806,0.04510228901151422,0.051393282866488484,0.04347296521348285,0.04617055530419001,0.05172589113722864,0.05371960256153014,0.05340424973829928,0.031777927990651315,0.04315109091613313,0.03822255670683346,0.0363324414257708,0.0343665563725326,0.03404782356152006,0.03277659549938362,0.03471588914112043,0.038203474361641176,0.03725342559556594,0.0241248767555444,0.02329320519033835,0.024047257957858857,0.021254343422109686,0.020988836412643264,0.018122776805601752,0.01849718712413898,0.01830024144232426,0.021155224476583502,0.02150741271123405,0.014341019170422457,0.018482818562892415,0.017547605319697495,0.02443663948562829,0.020939211132746226,0.019188846585266487,0.020576346809960858,0.02107375249952475,0.019690265263553264,0.026511648808816294,0.023002650606530603,0.01903882528792146,0.02104473906313836,0.01933914116042531,0.020560474266643383,0.020686267294426748,0.018011745614381857,0.018307932873750158,0.01830857152161828,0.019892497866520864,0.019802763246061995,0.0179325125486858,0.02185174642708967,0.02448155242527274,0.024903552283280773,0.023887539364195336,0.022833104671650204,0.022121094714809955,0.021477759121108747,0.023159181954889668,0.022908484183425563,0.018204240723789927,0.020660785690761883,0.018024924188418993,0.01584951704017657,0.015768055196653242,0.016869426412048808,0.020522735491497343,0.018522397261042465,0.020502092549431646,0.019581584390349797,0.018277205182874855,0.019556759020698422,0.020427236735560416
precision_mean,0.8659793814432992,0.8670640401575428,0.8656797885069594,0.8540780467153878,0.8602143572253411,0.8601435371611394,0.8619782568099474,0.8558735129401264,0.8584120805407498,0.8526991415095724,0.8571921416096469,0.8592035271398106,0.8500763570174831,0.8524609798786784,0.8573915723841308,0.8618835655706703,0.8600233190991377,0.8593556641797135,0.8658198637981647,0.862027533409894,0.8663001333255537,0.8645383348363019,0.8648675626452356,0.8610714291091581,0.8588075497724577,0.863202747263992,0.8704078886142194,0.8654547408749552,0.8670445307005501,0.864872733547943,0.8681064716291429,0.857763044817338,0.8617847241015978,0.8586681388059162,0.8640131117415274,0.8667024284824706,0.8552932353400606,0.8619026119428064,0.8627534357537205,0.8641815062191766,0.8614160591371196,0.8680158503841481,0.8679739145047138,0.8743860359117968,0.8663408480475308,0.8679853115200313,0.8633308830776363,0.8710358938505107,0.8664255749878066,0.8704626067362569,0.8696218448897934,0.8660648748043546,0.8702875732918338,0.8703632607729309,0.8566990066855616,0.8582655029832637,0.8606041184600851,0.8613859598158538,0.865519863258317,0.8694542373400876,0.8676241647715301,0.858138959714543,0.8544408092418163,0.8564446211838455,0.8523296549842453,0.8551545171351561,0.8553920705490364,0.8526706230985889,0.8459940940788313,0.8491550657340383,0.8454893695950583,0.8400714937288394,0.8450247032264873,0.8433233097293762,0.8446293500151091,0.8458606184178681,0.8511317535311189,0.8482796883520913,0.8515547893630421,0.8528956572548715,0.8590812728404009,0.8629738658801462,0.8695117214278427,0.8685070488459313,0.8669676390379444,0.8699669972632995,0.8674608279067078,0.8612891392759249,0.8640535309199437,0.8597478645893692,0.8606920502135529,0.8637434087808034,0.8634023576636685,0.8681274352548668,0.8702890087416201,0.8720953550985711,0.8743131355906593,0.8777368612091003,0.8802184457130833,0.8830820699658248
precision_sigma,1.1702778228589004e-16,0.006117086002011792,0.010101799516312317,0.010041137160178676,0.00881865959445497,0.006312442538869843,0.012297092257783079,0.009735127152915071,0.012798565097735026,0.012405833283423795,0.009058425688303635,0.012463097354719819,0.014345081578863283,0.014583523410045257,0.01226611849151636,0.011253680229845558,0.012201606158710654,0.014581669665740678,0.018943147094294722,0.016059909548193634,0.01171079405926349,0.012383751855598826,0.019754315357729965,0.016677659221738098,0.022900933440103115,0.018534681051975813,0.021250219136059147,0.017123446391384,0.017280319507470165,0.019255649014940278,0.01933446342525397,0.02819847599191609,0.027135231263875226,0.0363015538485243,0.03858613291002868,0.03210436774443855,0.037145415296052316,0.03200679947309409,0.03300355508269698,0.033486321963963284,0.033521201105206566,0.03676231705588994,0.03799250301401631,0.03235477596538691,0.037809544408509914,0.035197058570787004,0.03955797110046117,0.03845600756994358,0.039957220648604255,0.03594076607219639,0.03542407811365501,0.03266497681677706,0.03297555216279299,0.03275528971025772,0.040404495724365254,0.0402190261175634,0.032153297230358556,0.03083749100189174,0.030925371348240645,0.033076328308126506,0.03283828932980446,0.03233490639442667,0.03467921128694455,0.029540015439429298,0.030720118108216652,0.028088969702687715,0.026878812647952204,0.028932344960685908,0.031101393919305557,0.02854641785483112,0.027704941945834883,0.030620686953480473,0.023727757997138783,0.02827275842738837,0.025695137269982845,0.024214901145240872,0.021491569502603114,0.026599379603852894,0.02645577655826408,0.030697702346383197,0.03432429993942482,0.035126370561002776,0.02469616727024919,0.02222029637672008,0.022686886531603206,0.022310424225654796,0.02455839111400898,0.03191196356435404,0.03187919827428222,0.03380404829502791,0.033214375511836335,0.030990062800946953,0.03311473759673806,0.03393714678535449,0.02982984456415895,0.030783146482766564,0.026006803487167256,0.02173269526028429,0.020625891493441375,0.017056606053719798
recall_mean,0.5490196078431372,0.5202614379084967,0.526797385620915,0.5686274509803921,0.6052287581699345,0.6366013071895427,0.6294117647058823,0.618954248366013,0.622875816993464,0.6830065359477124,0.6411764705882353,0.677124183006536,0.7313725490196078,0.6993464052287581,0.642483660130719,0.6372549019607845,0.6738562091503268,0.6503267973856208,0.6620915032679738,0.7281045751633988,0.7176470588235294,0.696078431372549,0.7039215686274509,0.7450980392156863,0.7490196078431374,0.741830065359477,0.7032679738562092,0.7405228758169934,0.7392156862745097,0.7686274509803922,0.7477124183006536,0.7908496732026145,0.7771241830065361,0.7751633986928106,0.7633986928104577,0.7568627450980392,0.8084967320261438,0.7901960784313726,0.8,0.8065359477124183,0.8091503267973856,0.7960784313725491,0.8032679738562092,0.7973856209150327,0.7993464052287582,0.8013071895424837,0.822875816993464,0.8202614379084967,0.8261437908496732,0.8150326797385621,0.8287581699346405,0.8398692810457515,0.8411764705882352,0.8300653594771241,0.8588235294117647,0.8653594771241829,0.8745098039215687,0.8784313725490197,0.8705882352941178,0.8601307189542485,0.8692810457516341,0.8895424836601308,0.89281045751634,0.8915032679738564,0.900653594771242,0.8790849673202615,0.8862745098039216,0.8915032679738563,0.9,0.8980392156862745,0.907843137254902,0.9111111111111111,0.9098039215686274,0.9098039215686274,0.9098039215686274,0.9084967320261438,0.9071895424836601,0.9137254901960784,0.9013071895424837,0.9013071895424837,0.8980392156862745,0.8980392156862745,0.8928104575163399,0.8856209150326798,0.8875816993464053,0.8908496732026144,0.8954248366013072,0.9019607843137255,0.8967320261437909,0.9091503267973857,0.911764705882353,0.9124183006535949,0.9071895424836602,0.8960784313725491,0.8941176470588236,0.8954248366013072,0.8954248366013072,0.8941176470588236,0.8921568627450981,0.8954248366013072
recall_sigma,0.0,0.04112975875177066,0.0691836917556455,0.06291733803134487,0.07440653318043246,0.07207345752726912,0.08665712565136309,0.09315095008179752,0.08763750268095272,0.08118209535462619,0.09632734443621924,0.10289130905896604,0.10661811659426321,0.10338832695167471,0.09566478323362052,0.09172346159050493,0.09837512051392379,0.12294417048425298,0.12662619743184886,0.1006054832246905,0.1002557473159238,0.10168715494653562,0.12270457326873274,0.10297431196598235,0.10084110461450177,0.10616305351255265,0.11438219728102995,0.10135051899779102,0.09933541581997153,0.09192763923268327,0.09932346943133172,0.10288208238010976,0.10661811659426323,0.11997218221246161,0.11868340446256138,0.11597291847596095,0.08555464292578464,0.09725906004651576,0.08957401816319122,0.08410827682167538,0.08062768457495689,0.08121424610200821,0.07954009373373228,0.08081584745530027,0.08758332518895429,0.08572922462560904,0.06604218603434842,0.06338708725915534,0.061095477982853544,0.05886789257487211,0.054405194558635676,0.05074429062680663,0.049494192600944405,0.046421080071160185,0.05382630611479657,0.04674713205077597,0.03154154435007208,0.03488561028539973,0.03821030286430283,0.05036403756618698,0.0411066715993752,0.03690222806597152,0.036611680239825736,0.03995906411541744,0.031390699179656444,0.041935460903965535,0.04315705625939658,0.03699857030998484,0.03486519541369023,0.03190066268884206,0.04161733306241943,0.040195930826139654,0.03796104839150239,0.037457563922156774,0.03758406736879794,0.04099104078916507,0.03967295735107636,0.03455752515712129,0.051320948804723744,0.04195809202320803,0.04158881045399567,0.04054863659828095,0.05036403756618701,0.05046289682745305,0.04598962893928982,0.04570492480273749,0.04642108007116018,0.03417077808574758,0.04441453134927062,0.032233702645476744,0.031155445852015472,0.031751523664029065,0.037457563922156795,0.04636480897429785,0.045470659165819854,0.045803477214877236,0.041336962878018066,0.03919147158478232,0.040437279288171216,0.038359078129976056
test_accuracy_mean,0.8517178893089294,0.845207953453064,0.8466546177864075,0.8538878798484802,0.8636528015136719,0.8708860754966736,0.8698010861873626,0.8660036206245423,0.8674502730369568,0.8797468364238739,0.8712477385997772,0.8799276649951935,0.8896925866603851,0.8831826448440552,0.8717902302742004,0.8714285612106323,0.8793851733207703,0.8735985517501831,0.8777576863765717,0.8920434057712555,0.8909584045410156,0.885533457994461,0.8871609330177307,0.8956600368022919,0.8956600368022919,0.8954792022705078,0.8882459342479706,0.8958408653736114,0.8960217058658599,0.9021699786186218,0.8981916785240174,0.9047016322612762,0.9027124762535095,0.9007233262062073,0.8994575023651123,0.8990958452224731,0.9077757656574249,0.9057866156101226,0.9083182692527771,0.9103074252605439,0.9101265847682953,0.9088607668876648,0.9104882478713989,0.9112115740776062,0.9090416014194489,0.9101265847682953,0.9137432157993317,0.9155515372753144,0.9155515432357788,0.9142857134342194,0.917359858751297,0.9189873456954956,0.9206148386001587,0.9180831849575043,0.920072340965271,0.9222423076629639,0.9254972815513609,0.9267631113529203,0.9262206196784973,0.9249547958374024,0.9265822827816009,0.928209763765335,0.9276672840118408,0.9282097697257996,0.9289330959320068,0.9251356244087219,0.9267631113529206,0.9269439399242401,0.9265822827816009,0.9273056149482727,0.928209763765335,0.9269439399242401,0.9285714328289032,0.9278481006622314,0.9283905982971191,0.9285714268684387,0.9301989138126373,0.9305605888366699,0.9287522614002228,0.9292947590351105,0.9305605828762055,0.9318264067173004,0.9329114019870758,0.9309222400188446,0.9309222519397735,0.9327305734157563,0.9329114019870758,0.932188069820404,0.9318264067173004,0.9332730650901795,0.9341772198677063,0.9354430437088013,0.9339963912963867,0.9329114019870758,0.9332730591297149,0.9341772198677063,0.9350813806056977,0.9359855353832245,0.9363472044467926,0.9381555199623108
test_accuracy_mean,0.0,0.00991190168645951,0.018199342682588195,0.016034206965044782,0.018267105335521925,0.017474169798385255,0.022212810057293874,0.02353826076069111,0.022164512059270433,0.019886942987010235,0.023170326554941358,0.023947603434606415,0.022825924060609647,0.023145214663566793,0.024372452733589404,0.02200656991631213,0.022985337243121278,0.027364144190805184,0.02791299063326084,0.019992617939883297,0.021532567259243324,0.022538374364717374,0.02598503967067409,0.020119434339873777,0.01780068756162677,0.021375934529692577,0.023138929430520937,0.020283995294256913,0.020374259729727104,0.017185892698024428,0.019402367398315273,0.016242453297209507,0.017129781290969672,0.018430461096063895,0.018796455034207654,0.019284962811392463,0.011405006754620183,0.016627140087826935,0.014542942546666823,0.013986396496386111,0.013479757374433058,0.013017649335816759,0.012535637698536339,0.013024629367346725,0.014442653030611687,0.014034373612805314,0.010511434198412882,0.00975859531098055,0.011083486392127247,0.008743328338059577,0.009646242391832677,0.00838700329083671,0.00862828430015825,0.008695400757767547,0.011398621095694348,0.012586260722137171,0.00889166294228519,0.010655616254802297,0.009823533312655673,0.012765410234295848,0.011725445639499052,0.011213845875682383,0.012234953589389525,0.011689752985622751,0.011501753872576364,0.014192709833413203,0.012093075344115412,0.010482006731932109,0.012031317862909549,0.01104243499468204,0.011148839425427404,0.011663302487630995,0.009653772125799811,0.010280748458920918,0.009984935842230399,0.010518331950211362,0.01034242897619237,0.010057449423753676,0.010856610333702905,0.013757220212053535,0.014064118501057186,0.013613859798194692,0.011194383791753805,0.010571752223018246,0.010640275272153317,0.011650833629984755,0.011514386561141746,0.010655615692845103,0.011148851671233669,0.010964828344043059,0.009838316616993647,0.009456042365663915,0.00980317005154348,0.011096581876105053,0.009585800089537034,0.010789467071472849,0.010209835138576488,0.00934589326273927,0.009897229505412115,0.01046813204139463
