latitude,longitude
27.91176,77.68878
25.679170000000003,85.26631
25.70337,85.24313
27.76666,80.23439
26.17127,79.78632
25.24342,81.92594
27.70067,80.88688
24.906920000000003,85.40292
25.50778,85.29788
25.70019,85.24571
26.78211,85.09868999999999
25.6956,85.24231
26.21059,82.12469999999999
23.24017,87.78984
25.25918,85.21629
23.2272,87.80642
25.69137,85.25993
24.85569,85.01025
27.75363,80.23225
25.67753,85.28975000000001
27.897360000000003,77.66238
27.73923,80.22025
23.21828,87.89295
23.25898,87.83616
26.17643,84.02599000000001
27.219050000000003,80.55905999999999
25.68659,84.15261
27.61752,80.66635
27.72927,80.86733
25.53226,85.28877
28.08796,80.12518
27.58433,80.52197
27.72469,80.89335
27.85503,78.27232000000001
27.73755,80.84997
25.24151,81.96280999999999
27.62879,80.66158
27.65194,78.65134
26.48774,86.27591
25.675980000000003,84.1687
27.61791,80.66414
25.71019,85.24444
27.85023,78.26752
28.08542,80.12284000000001
26.191710000000004,82.13027000000001
23.24257,87.81143999999999
27.73007,80.87334
25.6922,85.25866
25.6707,85.30203999999999
25.25717,86.90839
27.52832,80.15458
27.86499,77.69443
26.15832,79.78011
26.16792,79.78971
27.21939,80.55852
25.67257,85.30316
25.702630000000003,85.24024
25.70148,85.24218
26.15884,82.15894
27.75392,80.23243
27.73077,80.86336
27.76062,80.24536
27.71209,80.86248
28.07116,80.11078
27.6955,80.89578999999999
25.24102,81.94753999999999
25.69377,85.24552999999999
26.19004,82.15173999999999
25.24631,81.97241
25.54277,85.28147
27.62271,80.66174
27.89496,77.69838
23.21829,87.79623
27.70786,80.86922
27.73557,80.85376000000001
24.88182,85.00644
25.28558,85.23309
24.87812,84.99957
26.10463,85.96477
26.17858,84.04813
27.89256,77.67678
23.24141,87.81166
27.56672,80.12338
27.909360000000003,77.66478
24.84467,84.07347000000001
27.70204,80.88492
27.73609,80.89368
23.23537,87.78743999999999
28.40003,79.36534
25.25717,86.89878999999999
25.66187,82.90681
27.73129,80.86728
27.6907,80.87659
25.69779,85.23371
25.53351,85.28826
27.49245,80.56918
25.95854,86.55339
27.73609,80.85047999999999
25.248710000000003,81.97001
27.69062,80.87835000000001
27.61463,80.65874
27.50722,80.00081
27.73426,80.88362000000001
23.23181,87.80445999999999
26.16312,79.78730999999999
25.25782,81.94994
27.64714,78.66334
26.759870000000003,82.97203999999999
25.25803,85.22134000000001
23.22812,87.77158999999999
25.70317,85.24230999999999
25.67988,85.26618
23.21021,87.81645999999999
27.750490000000003,80.89128
27.68704,80.88081
27.58318,80.71808000000001
26.15832,79.77530999999999
27.59699,80.66311
26.17699,82.13189999999999
25.27598,85.22109
27.74266,80.24399000000001
27.50925,80.58838
25.25302,81.94033999999999
23.25267,87.78792999999999
25.265510000000003,81.93641
27.67187,80.86048
27.59114,80.63665999999999
24.90956,85.41046
27.72587,80.87192
25.69194,85.24554
27.6756,80.89972
24.91196,85.40566
23.21994,87.77687
25.25782,81.93553999999999
27.58028,80.47970000000001
23.20111,87.83708
27.73007,80.86854
27.72315,80.85237
27.70307,80.88688
26.20105,82.11972999999999
28.093290000000003,80.13167
25.26022,81.92833999999999
27.84783,78.26752
27.73755,80.85477
23.21988,87.78024
28.42163,79.35813999999999
24.99562,88.10391
26.13047,79.76232
27.89379,77.68482999999999
27.62232,80.66395
25.27243,85.19974
23.21857,87.79943999999999
27.61439,80.65917999999999
25.6922,85.26106
27.87939,77.68003
27.70297,80.48224
27.67744,80.88561
23.71472,87.04041
23.20831,87.82988
23.21348,87.89295
25.69379,85.24501000000001
25.25111,81.95561000000001
23.70512,87.03560999999999
26.167160000000003,82.19411
26.19803,84.04999000000001
27.61186,80.65954
27.70546,80.88362000000001
27.73307,80.86472
28.10702,80.14924
27.90456,77.65997999999999
23.210400000000003,87.82802000000001
26.16407,79.78392000000001
25.25831,81.94121
25.66638,84.17350000000002
25.67273,85.30895000000001
25.70503,85.24264
25.70129,85.24101999999999
28.39763,79.34854
26.18313,82.13423
25.22231,81.96280999999999
27.53312,80.15218
25.67838,84.1567
26.191450000000003,82.12972
25.24718,85.23069000000001
27.71082,80.8622
25.68713,85.28255
27.50242,80.00561
25.69188,85.25898000000001
25.69099,85.24444
23.21828,87.90254999999999
25.53226,85.26957
27.75342,80.22136
26.20851,82.12307000000001
25.23862,81.95474
25.97054,86.58699
26.2008,82.11978
27.68647,80.88582
27.89736,77.69597999999999
25.69116,85.28698
27.86499,77.67763
27.75887,80.87574
25.69668,85.24218
25.248710000000003,81.93641
27.69015,80.8835
28.11196,80.14384
27.54958,80.71808
23.21109,87.81783
27.75342,80.23336
27.56828,80.4605
27.53817,80.50848
27.7099,80.86218999999998
24.90212,85.38611999999999
25.67402,85.31182000000001
28.08796,80.12223999999999
27.73182,80.25256
25.53591,85.28586
27.61379,80.65831
27.68635,80.88686
23.21679,87.75585
26.19984,82.11992
25.24478,85.23789000000001
28.07356,80.10358000000001
26.8693,81.42639
25.52871,85.27386
23.21818,87.79776000000001
27.69015,80.87629999999999
26.31942,87.50788
28.09996,80.14198
27.51405,80.57638
25.25198,85.21629
27.63514,78.64654
25.70259,85.24331
25.70579,85.24261
27.733690000000003,80.88408
26.19753,82.11022999999999
26.19865,82.12492
26.18125,82.16507999999999
26.19273,82.12943
28.08782,80.14684000000001
23.23119,87.76304999999999
27.6883,80.87899
25.26638,85.21149
25.68899,85.26181
26.02502,86.75458
27.67907,80.88688
27.61274,80.65826
23.21919,87.77985
25.7018,85.24186
27.73275,80.85717
26.42168,79.55672
27.58583,80.68034
25.67994,85.26714
27.6996,80.89012000000001
26.20704,82.13192000000001
27.68582,80.88555000000001
27.62715,80.56554000000001
25.68914,85.25845
28.09407,80.13179
27.89139,77.68243
