latitude,longitude,placeholder
28.33298, 77.39005, Untitled Placemark
28.33466, 77.39480, smoke coming out!!!
28.33571, 77.39162, Untitled Placemark
28.33674, 77.39209, Untitled Placemark
28.33509, 77.41699, Untitled Placemark
28.32641, 77.39724, Untitled Placemark
28.35670, 77.56915, Untitled Placemark
28.36372, 77.57433, Untitled Placemark
28.36399, 77.57524, Untitled Placemark
28.36483, 77.57656, Untitled Placemark
28.36577, 77.57845, Untitled Placemark
28.35573, 77.57795, Untitled Placemark
28.35389, 77.58283, Untitled Placemark
28.35287, 77.58321, Untitled Placemark
28.35349, 77.58485, Untitled Placemark
28.35092, 77.58630, Untitled Placemark
28.34521, 77.58017, Untitled Placemark
28.34625, 77.58260, Untitled Placemark
28.34593, 77.58378, Untitled Placemark
28.33648, 77.58713, Untitled Placemark
28.33519, 77.58751, Untitled Placemark
28.33309, 77.58123, Untitled Placemark
28.33978, 77.56603, Untitled Placemark
28.34971, 77.56283, Untitled Placemark
28.35631, 77.55873, Untitled Placemark
28.36186, 77.56796, Untitled Placemark
28.38398, 77.58309, Untitled Placemark
28.40127, 77.59512, Untitled Placemark
28.39945, 77.58707, Untitled Placemark
28.36404, 77.59182, Untitled Placemark
28.36141, 77.59168, Untitled Placemark
28.36796, 77.58388, Untitled Placemark
28.36855, 77.58522, Untitled Placemark
28.27128, 77.52331, Untitled Placemark
28.33799, 77.59090, Untitled Placemark
28.40713, 77.60725, Untitled Placemark
28.40817, 77.60321, Untitled Placemark
28.41282, 77.60694, Untitled Placemark
28.42187, 77.59602, Untitled Placemark
28.42188, 77.59772, Untitled Placemark
28.42641, 77.59358, Untitled Placemark
28.42853, 77.59756, Untitled Placemark
28.43609, 77.59825, Untitled Placemark
28.45062, 77.64244, Untitled Placemark
28.45070, 77.64545, Untitled Placemark
28.44941, 77.64286, Untitled Placemark
28.45626, 77.64781, Untitled Placemark
28.45374, 77.64647, Untitled Placemark
28.45248, 77.63266, Untitled Placemark
28.44720, 77.64975, Untitled Placemark
28.44934, 77.65486, Untitled Placemark
28.44762, 77.66003, Untitled Placemark
28.44270, 77.65671, Untitled Placemark
28.44357, 77.66374, Untitled Placemark
28.44852, 77.66251, Untitled Placemark
28.43085, 77.67215, Untitled Placemark
28.43522, 77.67707, Untitled Placemark
28.44194, 77.68330, Untitled Placemark
28.47454, 77.68159, Untitled Placemark
28.47427, 77.67372, Untitled Placemark
28.47366, 77.67457, Untitled Placemark
28.45429, 77.64553, Untitled Placemark
28.48805, 77.62787, Untitled Placemark
28.45938, 77.61432, Untitled Placemark
28.48218, 77.59443, Untitled Placemark
28.39542, 77.55606, Untitled Placemark
28.80288, 77.32070, Untitled Placemark
28.80096, 77.32559, Untitled Placemark
28.79824, 77.32051, Untitled Placemark
28.80569, 77.32176, Untitled Placemark
28.80642, 77.32103, Untitled Placemark
28.79879, 77.35231, Untitled Placemark
28.79677, 77.35220, Untitled Placemark
28.79498, 77.34845, Untitled Placemark
28.79668, 77.35543, Untitled Placemark
28.80435, 77.34487, Untitled Placemark
28.80094, 77.37099, Untitled Placemark
28.79839, 77.37626, Untitled Placemark
28.80152, 77.36839, Untitled Placemark
28.79686, 77.31308, Untitled Placemark
28.80567, 77.42283, Untitled Placemark
28.80410, 77.45010, Untitled Placemark
28.80604, 77.48149, Untitled Placemark
28.81030, 77.47105, Untitled Placemark
28.79096, 77.50845, Untitled Placemark
28.81158, 77.54224, Untitled Placemark
28.81254, 77.53488, Untitled Placemark
28.80988, 77.53691, Untitled Placemark
28.80384, 77.55197, Untitled Placemark
28.80014, 77.54506, Untitled Placemark
28.81416, 77.53125, Untitled Placemark
28.81202, 77.53151, Untitled Placemark
28.81100, 77.53345, Untitled Placemark
28.80324, 77.53266, Untitled Placemark
28.80566, 77.56580, Untitled Placemark
28.79902, 77.57287, Untitled Placemark
28.79579, 77.56396, Untitled Placemark
28.79311, 77.56508, Untitled Placemark
28.78991, 77.57017, Untitled Placemark
28.79158, 77.55666, Untitled Placemark
28.79328, 77.54797, Untitled Placemark
28.79360, 77.55130, Untitled Placemark
28.79360, 77.55467, Untitled Placemark
28.78345, 77.55310, Untitled Placemark
28.78340, 77.55584, Untitled Placemark
28.78704, 77.57264, Untitled Placemark
28.78177, 77.57498, Untitled Placemark
28.78098, 77.56713, Untitled Placemark
28.77819, 77.56471, Untitled Placemark
28.77745, 77.56601, Untitled Placemark
28.77619, 77.56324, Untitled Placemark
28.77876, 77.57624, Untitled Placemark
28.77516, 77.57756, Untitled Placemark
28.77353, 77.57805, Untitled Placemark
28.77967, 77.58483, Untitled Placemark
28.77714, 77.58795, Untitled Placemark
28.77630, 77.59403, Untitled Placemark
28.77148, 77.59382, Untitled Placemark
28.83994, 77.52666, Untitled Placemark
28.83796, 77.53114, Untitled Placemark
28.83347, 77.53057, Untitled Placemark
28.83332, 77.52813, Untitled Placemark
28.83132, 77.53382, Untitled Placemark
28.83730, 77.53606, Untitled Placemark
28.83845, 77.53598, Untitled Placemark
28.83693, 77.53670, Untitled Placemark
28.84265, 77.54758, Untitled Placemark
28.84110, 77.55163, Untitled Placemark
28.84744, 77.56054, Untitled Placemark
28.89438, 77.60485, Untitled Placemark
28.90474, 77.39542, Untitled Placemark
28.89572, 77.26869, Untitled Placemark
28.89349, 77.26919, Untitled Placemark
28.89255, 77.26608, Untitled Placemark
28.89096, 77.26654, Untitled Placemark
28.88743, 77.26385, Untitled Placemark
28.88972, 77.26062, Untitled Placemark
28.90605, 77.24972, Untitled Placemark
28.90015, 77.25219, Untitled Placemark
28.90506, 77.24480, Untitled Placemark
28.89643, 77.25148, Untitled Placemark
28.89633, 77.25671, Untitled Placemark
28.89499, 77.24693, Untitled Placemark
28.89478, 77.25465, Untitled Placemark
28.88942, 77.25142, Untitled Placemark
28.89027, 77.25682, Untitled Placemark
28.88771, 77.25714, Untitled Placemark
28.88188, 77.25264, Untitled Placemark
28.88442, 77.26297, Untitled Placemark
28.88596, 77.24853, Untitled Placemark
28.89792, 77.05241, Untitled Placemark
28.90032, 77.04557, Untitled Placemark
28.90029, 77.04120, Untitled Placemark
28.89874, 77.04424, Untitled Placemark
28.89541, 77.04582, Untitled Placemark
28.89327, 77.04770, Untitled Placemark
28.89391, 77.03872, Untitled Placemark
28.89267, 77.02456, Untitled Placemark
28.89060, 77.02923, Untitled Placemark
28.88376, 77.03288, Untitled Placemark
28.90219, 76.97700, Untitled Placemark
28.88852, 77.03896, Untitled Placemark
28.87944, 77.04082, Untitled Placemark
28.87647, 77.03919, Untitled Placemark
28.87491, 77.03808, Untitled Placemark
28.87479, 77.04049, Untitled Placemark
28.87183, 77.03162, Untitled Placemark
28.86130, 77.02851, Untitled Placemark
28.85736, 77.03470, Untitled Placemark
28.85236, 77.03559, Untitled Placemark
28.88392, 77.37678, Untitled Placemark
28.88120, 77.45531, Untitled Placemark
28.87423, 77.44104, Untitled Placemark
28.87014, 77.43929, Untitled Placemark
28.86718, 77.43770, Untitled Placemark
28.86542, 77.43669, Untitled Placemark
28.86407, 77.43691, Untitled Placemark
28.86500, 77.43856, Untitled Placemark
28.85889, 77.43294, Untitled Placemark
28.85475, 77.43060, Untitled Placemark
28.84897, 77.42908, Untitled Placemark
28.84463, 77.43409, Untitled Placemark
28.84843, 77.44144, Untitled Placemark
28.84944, 77.44902, Untitled Placemark
28.84325, 77.44874, Untitled Placemark
28.86339, 77.47136, Untitled Placemark
28.86119, 77.47644, Untitled Placemark
28.85993, 77.46862, Untitled Placemark
28.84909, 77.47168, Untitled Placemark
28.83619, 77.45464, Untitled Placemark
28.85262, 77.39074, Untitled Placemark
28.86089, 77.38321, Untitled Placemark
28.86247, 77.34962, Untitled Placemark
28.84696, 77.29901, Untitled Placemark
28.84803, 77.29489, Untitled Placemark
28.84624, 77.29139, Untitled Placemark
28.84366, 77.29909, Untitled Placemark
28.84810, 77.28612, Untitled Placemark
28.85096, 77.28514, Untitled Placemark
28.85733, 77.28773, Untitled Placemark
28.86983, 77.30166, Untitled Placemark
28.86814, 77.29647, Untitled Placemark
28.86497, 77.29718, Untitled Placemark
28.86907, 77.29293, Untitled Placemark
28.86759, 77.30296, Untitled Placemark
28.86817, 77.31251, Untitled Placemark
28.80538, 77.37470, Untitled Placemark
28.80465, 77.37634, Untitled Placemark
28.85547, 76.96307, Untitled Placemark
28.85659, 76.95318, Untitled Placemark
28.85412, 76.95251, Untitled Placemark
28.85400, 76.95495, Untitled Placemark
28.85090, 76.95410, Untitled Placemark
28.82523, 76.95961, Untitled Placemark
28.82327, 76.95883, Untitled Placemark
28.82244, 76.96061, Untitled Placemark
28.82003, 76.94899, Untitled Placemark
28.81482, 76.94214, Untitled Placemark
28.81140, 76.93758, Untitled Placemark
28.81053, 76.92767, Untitled Placemark
28.81474, 76.92072, Untitled Placemark
28.81154, 76.91972, Untitled Placemark
28.81179, 76.92083, Untitled Placemark
28.81023, 76.92177, Untitled Placemark
28.80863, 76.92173, Untitled Placemark
28.80933, 76.92597, Untitled Placemark
28.81617, 76.92016, Untitled Placemark
28.81538, 76.92090, Untitled Placemark
28.80234, 76.91708, Untitled Placemark
28.80200, 76.92486, Untitled Placemark
28.79950, 76.91513, Untitled Placemark
28.79741, 76.92680, Untitled Placemark
28.79649, 76.93369, Untitled Placemark
28.78986, 76.92610, Untitled Placemark
28.78865, 76.92773, Untitled Placemark
28.79142, 76.94724, Untitled Placemark
28.78885, 76.95180, Untitled Placemark
28.78995, 76.95290, Untitled Placemark
28.73793, 76.92945, Untitled Placemark
28.73958, 76.92713, Untitled Placemark
28.73470, 76.92940, Untitled Placemark
28.73746, 76.92466, Untitled Placemark
28.72459, 76.92427, Untitled Placemark
28.72464, 76.92828, Untitled Placemark
28.72451, 76.93047, Untitled Placemark
28.74498, 76.92350, Untitled Placemark
28.74625, 76.91661, Untitled Placemark
28.34471, 77.38143, Untitled Placemark
28.34279, 77.38750, Untitled Placemark
28.36753, 77.39188, Untitled Placemark
28.38035, 77.38995, Untitled Placemark
28.38930, 77.38849, Untitled Placemark
28.31133, 77.39710, Untitled Placemark
28.31034, 77.39858, Untitled Placemark
28.25176, 77.45065, Untitled Placemark
28.25358, 77.43054, Untitled Placemark
28.25371, 77.43690, Untitled Placemark
28.26312, 77.41659, Untitled Placemark
28.27474, 77.38884, Untitled Placemark
28.27591, 77.38940, Untitled Placemark
28.28505, 77.38764, Untitled Placemark
28.28507, 77.39167, Untitled Placemark
28.28455, 77.39359, Untitled Placemark
28.27765, 77.39343, Untitled Placemark
28.28382, 77.39684, Untitled Placemark
28.28183, 77.39569, Untitled Placemark
28.27994, 77.39798, Untitled Placemark
28.28199, 77.39978, Untitled Placemark
28.29648, 77.37155, Untitled Placemark
28.29598, 77.37248, Untitled Placemark
28.28806, 77.36939, Untitled Placemark
28.29148, 77.37897, Untitled Placemark
28.29159, 77.38229, Untitled Placemark
28.30267, 77.35812, Untitled Placemark
28.25308, 77.40743, Untitled Placemark
28.25145, 77.40527, Untitled Placemark
28.24972, 77.40475, Untitled Placemark
28.24445, 77.40404, Untitled Placemark
28.24659, 77.41046, Untitled Placemark
28.25161, 77.40017, Untitled Placemark
28.24546, 77.39770, Untitled Placemark
28.24480, 77.39277, Untitled Placemark
28.24417, 77.39738, Untitled Placemark
28.24152, 77.41022, Untitled Placemark
28.23998, 77.38249, Untitled Placemark
28.24048, 77.38506, Untitled Placemark
28.23701, 77.38337, Untitled Placemark
28.23515, 77.37683, Untitled Placemark
28.23150, 77.37903, Untitled Placemark
28.23129, 77.38038, Untitled Placemark
28.23566, 77.37502, Untitled Placemark
28.22150, 77.38582, Untitled Placemark
28.21607, 77.39970, Untitled Placemark
28.22387, 77.42738, Untitled Placemark
28.22013, 77.41679, Untitled Placemark
28.21908, 77.42252, Untitled Placemark
28.23174, 77.43546, Untitled Placemark
28.20372, 77.43994, Untitled Placemark
28.22595, 77.27560, Untitled Placemark
28.67614, 77.64428, Untitled Placemark
28.68243, 77.64270, Untitled Placemark
28.76670, 77.60355, Untitled Placemark
28.77376, 77.59046, Untitled Placemark
28.77378, 77.59693, Untitled Placemark
28.76758, 77.59761, Untitled Placemark
28.78310, 77.59279, Untitled Placemark
28.77440, 77.60486, Untitled Placemark
28.53938, 77.60419, Untitled Placemark
28.52905, 77.61201, Untitled Placemark
28.52914, 77.61006, Untitled Placemark
28.53046, 77.60596, Untitled Placemark
28.52949, 77.60476, Untitled Placemark
28.53825, 77.60240, Untitled Placemark
28.53130, 77.59970, Untitled Placemark
28.52007, 77.60804, Untitled Placemark
28.51933, 77.60725, Untitled Placemark
28.52108, 77.60116, Untitled Placemark
28.43770, 77.59831, Untitled Placemark
28.25673, 77.61370, Untitled Placemark
28.36994, 77.57426, Untitled Placemark
28.36910, 77.57374, Untitled Placemark
28.71579, 77.56579, Untitled Placemark
28.76488, 77.57377, Untitled Placemark
28.77449, 77.57022, Untitled Placemark
28.59525, 77.53233, Untitled Placemark
28.59072, 77.53078, Untitled Placemark
28.23546, 77.55816, Untitled Placemark
28.22523, 77.54896, Untitled Placemark
28.54174, 77.52240, Untitled Placemark
28.72670, 77.51892, Untitled Placemark
28.74195, 77.52336, Untitled Placemark
28.74415, 77.50560, Untitled Placemark
28.83888, 77.50976, Untitled Placemark
28.99510, 77.49847, Untitled Placemark
28.99491, 77.49715, Untitled Placemark
28.25411, 77.44111, Untitled Placemark
28.25310, 77.44021, Untitled Placemark
28.75109, 77.44235, Untitled Placemark
28.84852, 77.44841, Untitled Placemark
28.95855, 77.44827, Untitled Placemark
28.96051, 77.44251, Untitled Placemark
28.96735, 77.44589, Untitled Placemark
28.96339, 77.44541, Untitled Placemark
28.96557, 77.44076, Untitled Placemark
28.95885, 77.44208, Untitled Placemark
28.99139, 77.44482, Untitled Placemark
28.99558, 77.44714, Untitled Placemark
28.99898, 77.44370, Untitled Placemark
28.99868, 77.44056, Untitled Placemark
28.99016, 77.41238, Untitled Placemark
28.96837, 77.42300, Untitled Placemark
28.95857, 77.42576, Untitled Placemark
28.95770, 77.42336, Untitled Placemark
28.95235, 77.42201, Untitled Placemark
28.95060, 77.42169, Untitled Placemark
28.94735, 77.42821, Untitled Placemark
28.94560, 77.41876, Untitled Placemark
28.93870, 77.41564, Untitled Placemark
28.93732, 77.41486, Untitled Placemark
28.93743, 77.43171, Untitled Placemark
28.92636, 77.41643, Untitled Placemark
28.91964, 77.41489, Untitled Placemark
28.84364, 77.42689, Untitled Placemark
28.79657, 77.43272, Untitled Placemark
28.76658, 77.43797, Untitled Placemark
28.25341, 77.43883, Untitled Placemark
28.24429, 77.41159, Untitled Placemark
28.23946, 77.41087, Untitled Placemark
28.23360, 77.41037, Untitled Placemark
28.22742, 77.42394, Untitled Placemark
28.22687, 77.42213, Untitled Placemark
28.22691, 77.42096, Untitled Placemark
28.22588, 77.42071, Untitled Placemark
28.22584, 77.41453, Untitled Placemark
28.20861, 77.42012, Untitled Placemark
28.21238, 77.40143, Untitled Placemark
28.21924, 77.39372, Untitled Placemark
28.22434, 77.38157, Untitled Placemark
28.22335, 77.38283, Untitled Placemark
28.22824, 77.38055, Untitled Placemark
28.23323, 77.38055, Untitled Placemark
28.23843, 77.38383, Untitled Placemark
28.23908, 77.38466, Untitled Placemark
28.24274, 77.38323, Untitled Placemark
28.24441, 77.39620, Untitled Placemark
28.24281, 77.39938, Untitled Placemark
28.24177, 77.40265, Untitled Placemark
28.24295, 77.40674, Untitled Placemark
28.24504, 77.40555, Untitled Placemark
28.24453, 77.40316, Untitled Placemark
28.24858, 77.39634, Untitled Placemark
28.24847, 77.39975, Untitled Placemark
28.24990, 77.39983, Untitled Placemark
28.27356, 77.39412, Untitled Placemark
28.37808, 77.39509, Untitled Placemark
28.40697, 77.40337, Untitled Placemark
28.40635, 77.40116, Untitled Placemark
28.41320, 77.40426, Untitled Placemark
28.77980, 77.39453, Untitled Placemark
28.85088, 77.38246, Untitled Placemark
28.85510, 77.38252, Untitled Placemark
28.85825, 77.38579, Untitled Placemark
28.90055, 77.38722, Untitled Placemark
28.91858, 77.39565, Untitled Placemark
28.92253, 77.39907, Untitled Placemark
28.92281, 77.39823, Untitled Placemark
28.93419, 77.38148, Untitled Placemark
28.94013, 77.40214, Untitled Placemark
28.95667, 77.40798, Untitled Placemark
28.99612, 77.40788, Untitled Placemark
28.95696, 77.35154, Untitled Placemark
28.90831, 77.37911, Untitled Placemark
28.85466, 77.37900, Untitled Placemark
28.82775, 77.36877, Untitled Placemark
28.82603, 77.37169, Untitled Placemark
28.82051, 77.37402, Untitled Placemark
28.81870, 77.37131, Untitled Placemark
28.79242, 77.36291, Untitled Placemark
28.79137, 77.36214, Untitled Placemark
28.78368, 77.36460, Untitled Placemark
28.79305, 77.35934, Untitled Placemark
28.78595, 77.36949, Untitled Placemark
28.77691, 77.36165, Untitled Placemark
28.77806, 77.36531, Untitled Placemark
28.77399, 77.36397, Untitled Placemark
28.76358, 77.37733, Untitled Placemark
28.41142, 77.37961, Untitled Placemark
28.40759, 77.37873, Untitled Placemark
28.23112, 77.37792, Untitled Placemark
28.22602, 77.34687, Untitled Placemark
28.25450, 77.33455, Untitled Placemark
28.25140, 77.33582, Untitled Placemark
28.25057, 77.33419, Untitled Placemark
28.25553, 77.33122, Untitled Placemark
28.26105, 77.32940, Untitled Placemark
28.26123, 77.32604, Untitled Placemark
28.26517, 77.33012, Untitled Placemark
28.26460, 77.33358, Untitled Placemark
28.80002, 77.33286, Untitled Placemark
28.80445, 77.32895, Untitled Placemark
28.80547, 77.34832, Untitled Placemark
28.80710, 77.34154, Untitled Placemark
28.91243, 77.32403, Untitled Placemark
28.91408, 77.32253, Untitled Placemark
28.91743, 77.32047, Untitled Placemark
28.94335, 77.32504, Untitled Placemark
28.99398, 77.33406, Untitled Placemark
28.96784, 77.29867, Untitled Placemark
28.94847, 77.29417, Untitled Placemark
28.94575, 77.29186, Untitled Placemark
28.94313, 77.29022, Untitled Placemark
28.93375, 77.29221, Untitled Placemark
28.92295, 77.29108, Untitled Placemark
28.91084, 77.30119, Untitled Placemark
28.83293, 77.29829, Untitled Placemark
28.81772, 77.30659, Untitled Placemark
28.81306, 77.30984, Untitled Placemark
28.81119, 77.31044, Untitled Placemark
28.80997, 77.31400, Untitled Placemark
28.80662, 77.31755, Untitled Placemark
28.81189, 77.30288, Untitled Placemark
28.77736, 77.31542, Untitled Placemark
28.24528, 77.29617, Untitled Placemark
28.29328, 77.28125, Untitled Placemark
28.28834, 77.27278, Untitled Placemark
28.81805, 77.29080, Untitled Placemark
28.83691, 77.27627, Untitled Placemark
28.93422, 77.27312, Untitled Placemark
28.93543, 77.26908, Untitled Placemark
28.93389, 77.25970, Untitled Placemark
28.94378, 77.26774, Untitled Placemark
28.94336, 77.25972, Untitled Placemark
28.96865, 77.26120, Untitled Placemark
28.97204, 77.27098, Untitled Placemark
28.97609, 77.26706, Untitled Placemark
28.99943, 77.24226, Untitled Placemark
28.99314, 77.24197, Untitled Placemark
28.98749, 77.24552, Untitled Placemark
28.98896, 77.24318, Untitled Placemark
28.98742, 77.24335, Untitled Placemark
28.98661, 77.24525, Untitled Placemark
28.98730, 77.23915, Untitled Placemark
28.98952, 77.23376, Untitled Placemark
28.98223, 77.24317, Untitled Placemark
28.97976, 77.23600, Untitled Placemark
28.97887, 77.23504, Untitled Placemark
28.97248, 77.23273, Untitled Placemark
28.95973, 77.25148, Untitled Placemark
28.96018, 77.23781, Untitled Placemark
28.95913, 77.23475, Untitled Placemark
28.95717, 77.23322, Untitled Placemark
28.95554, 77.23015, Untitled Placemark
28.94811, 77.25263, Untitled Placemark
28.93622, 77.24785, Untitled Placemark
28.93529, 77.25754, Untitled Placemark
28.92103, 77.25611, Untitled Placemark
28.92036, 77.25336, Untitled Placemark
28.91680, 77.24994, Untitled Placemark
28.91169, 77.25663, Untitled Placemark
28.91066, 77.24811, Untitled Placemark
28.95263, 77.22448, Untitled Placemark
28.95277, 77.22157, Untitled Placemark
28.95593, 77.21786, Untitled Placemark
28.95729, 77.22240, Untitled Placemark
28.95994, 77.21991, Untitled Placemark
28.96144, 77.22585, Untitled Placemark
28.97316, 77.22925, Untitled Placemark
28.97561, 77.22860, Untitled Placemark
28.99241, 77.22411, Untitled Placemark
28.99567, 77.22596, Untitled Placemark
28.88474, 77.17298, Untitled Placemark
28.85672, 77.16982, Untitled Placemark
28.87022, 77.16858, Untitled Placemark
28.85498, 77.05056, Untitled Placemark
28.30226, 77.05839, Untitled Placemark
28.29962, 77.05458, Untitled Placemark
28.29927, 77.05535, Untitled Placemark
28.85102, 77.04378, Untitled Placemark
28.87487, 77.02631, Untitled Placemark
28.84256, 76.99058, Untitled Placemark
28.84980, 76.96240, Untitled Placemark
28.99345, 76.92910, Untitled Placemark
28.92019, 76.94965, Untitled Placemark
28.73760, 76.93267, Untitled Placemark
28.74932, 76.92361, Untitled Placemark
28.75314, 76.92019, Untitled Placemark
28.92810, 76.92721, Untitled Placemark
28.92720, 76.91850, Untitled Placemark
28.92716, 76.91723, Untitled Placemark
28.92878, 76.91513, Untitled Placemark
28.93146, 76.91474, Untitled Placemark
28.92981, 76.91275, Untitled Placemark
28.93143, 76.91698, Untitled Placemark
28.93243, 76.91905, Untitled Placemark
28.93245, 76.92084, Untitled Placemark
28.93591, 76.91602, Untitled Placemark
28.92622, 76.91071, Untitled Placemark
28.92651, 76.90689, Untitled Placemark
28.93279, 76.90489, Untitled Placemark
