latitude,longitude,placeholder
25.65643, 84.97282, WPT200
25.65658, 84.97146, WPT201
25.65654, 84.97001, WPT202
25.65672, 84.96888, WPT203
25.65596, 84.96638, WPT204
25.65625, 84.96452, WPT205
25.65552, 84.96048, WPT206
25.65518, 84.95928, WPT207
25.65454, 84.95716, WPT208
25.65428, 84.95038, WPT209
25.65352, 84.94569, WPT210
25.65488, 84.94264, WPT211
25.65592, 84.94101, WPT212
25.65668, 84.94043, WPT213
25.65589, 84.93837, WPT214
25.65424, 84.93886, WPT215
25.65416, 84.93790, WPT216
25.65764, 84.93201, WPT217
25.65667, 84.93675, WPT218
25.65744, 84.93148, WPT219
25.74727, 84.95992, WPT220
25.74462, 84.96206, WPT221
25.75460, 85.13009, WPT222
25.75567, 85.12498, WPT223
25.73278, 85.13872, WPT224
25.68698, 85.16910, WPT225
25.68329, 85.16996, WPT226
25.67955, 85.17627, WPT227
25.67949, 85.17952, WPT228
25.67892, 85.18695, WPT229
25.68099, 85.18848, WPT230
25.67908, 85.18655, WPT231
25.67358, 85.18539, WPT232
25.67292, 85.18362, WPT233
25.67225, 85.18233, WPT234
25.66950, 85.17526, WPT235
25.66545, 85.17130, WPT236
25.67921, 85.17653, WPT237
25.68286, 85.18480, WPT238
25.67917, 85.18873, WPT239
25.66871, 85.17565, WPT240
25.66613, 85.17116, WPT241
25.66925, 85.17533, WPT242
25.68051, 85.18960, WPT243
25.70870, 85.17959, WPT244
25.73063, 85.17075, WPT245
25.78118, 85.15455, WPT246
25.18357, 85.03864, WPT247
25.17963, 85.02599, WPT248
25.16170, 85.04325, WPT249
25.15996, 85.04241, WPT250
25.17705, 85.06673, WPT251
25.16759, 85.07499, WPT252
25.15710, 85.07385, WPT253
25.15237, 85.07818, WPT254
25.14616, 85.08602, WPT255
25.14348, 85.08847, WPT256
25.15177, 85.09141, WPT257
25.20364, 85.09465, WPT258
25.22180, 85.08934, WPT259
25.22396, 85.08677, WPT260
25.22579, 85.12347, WPT261
25.24544, 85.14363, WPT262
25.24502, 85.15021, WPT263
25.23640, 85.14979, WPT264
25.27273, 85.18498, WPT265
25.29131, 85.20758, WPT266
25.29315, 85.21072, WPT267
25.32321, 85.18720, WPT268
25.36627, 85.21044, WPT269
25.69657, 85.43257, WPT270
25.69657, 85.43257, WPT271
25.69467, 85.42953, WPT272
25.69680, 85.43809, WPT273
25.69750, 85.43905, WPT274
25.69721, 85.43817, WPT275
25.69692, 85.44067, WPT276
25.69689, 85.44159, WPT277
25.69616, 85.44166, WPT278
25.69406, 85.44347, WPT279
25.69294, 85.44524, WPT280
25.71036, 85.43498, WPT281
25.71061, 85.43641, WPT282
25.70313, 85.45763, WPT283
25.79900, 87.58107, WPT284
25.80232, 87.58543, WPT285
25.78360, 87.57294, WPT286
25.79163, 87.56881, WPT287
25.36253, 84.22865, WPT288
25.36413, 84.22912, WPT289
25.36585, 84.22910, WPT290
25.36919, 84.22402, WPT291
25.37677, 84.22435, WPT292
25.37788, 84.22868, WPT293
25.38055, 84.21832, WPT294
25.38187, 84.22200, WPT295
25.38545, 84.22294, WPT296
25.38239, 84.22707, WPT297
25.36934, 84.22283, WPT298
25.35547, 84.21417, WPT299
25.34892, 84.22598, WPT300
25.35005, 84.22758, WPT301
25.35277, 84.22887, WPT302
25.34696, 84.23009, WPT303
25.34321, 84.22689, WPT304
25.42786, 84.33047, WPT305
25.01586, 84.39516, WPT306
25.02551, 84.37769, WPT307
25.02171, 84.37416, WPT308
25.02038, 84.37178, WPT309
25.02001, 84.37084, WPT310
26.09962, 83.79115, WPT311
26.09643, 83.79937, WPT312
26.09830, 83.80309, WPT313
26.09067, 83.80639, WPT314
26.13071, 83.83815, WPT315
26.13404, 83.83337, WPT316
26.15581, 83.80851, WPT317
26.15765, 83.81171, WPT318
26.04588, 83.83391, WPT319
26.02633, 83.82084, WPT320
26.01179, 83.82874, WPT321
25.99908, 83.72694, WPT322
26.01714, 83.73228, WPT323
26.01888, 83.70923, WPT324
26.01608, 83.68670, WPT325
26.02381, 83.68805, WPT326
26.06693, 83.67012, WPT327
26.06622, 83.66965, WPT328
26.08158, 83.67538, WPT329
26.08793, 83.58495, WPT330
26.08843, 83.58109, WPT331
26.08630, 83.57378, WPT332
27.16535, 83.73795, WPT333
27.17252, 83.74018, WPT334
27.17969, 83.74918, WPT335
27.17746, 83.75183, WPT336
27.17658, 83.75626, WPT337
27.16995, 83.74941, WPT338
27.16775, 83.75225, WPT339
27.16742, 83.75337, WPT340
27.15957, 83.74100, WPT341
27.15689, 83.73839, WPT342
27.15436, 83.73855, WPT343
27.15417, 83.73426, WPT344
27.14942, 83.73432, WPT345
27.14984, 83.73235, WPT346
27.14281, 83.73250, WPT347
27.17072, 83.74972, WPT348
27.16875, 83.75193, WPT349
27.16778, 83.75329, WPT350
27.17071, 83.74971, WPT351
27.17199, 83.74094, WPT352
27.18108, 83.74019, WPT353
27.18712, 83.73647, WPT354
27.19101, 83.73880, WPT355
27.19226, 83.73773, WPT356
27.19303, 83.73802, WPT357
27.19502, 83.73786, WPT358
27.19733, 83.74442, WPT359
27.19414, 83.74587, WPT360
27.20140, 83.74403, WPT361
27.19281, 83.73790, WPT362
27.20337, 83.74255, WPT363
27.19463, 83.73843, WPT364
27.19535, 83.73870, WPT365
27.20348, 83.74339, WPT366
27.20118, 83.74479, WPT367
27.19734, 83.74455, WPT368
27.20169, 83.72633, WPT369
27.20244, 83.72480, WPT370
27.20677, 83.72337, WPT371
27.21483, 83.72691, WPT372
27.21387, 83.72444, WPT373
27.21464, 83.72205, WPT374
27.22186, 83.72330, WPT375
27.28102, 83.72931, WPT376
27.32646, 83.73754, WPT377
27.32985, 83.73980, WPT378
27.33942, 83.75417, WPT379
27.34327, 83.75827, WPT380
26.88716, 80.86975, WPT381
26.60882, 83.75067, WPT382
26.63962, 83.76541, WPT383
26.63681, 83.76489, WPT384
26.63253, 83.76726, WPT385
26.63975, 83.76534, WPT386
25.76718, 84.20381, WPT387
25.76678, 84.20445, WPT388
28.33062, 77.75101, WPT389
28.33599, 77.73904, WPT390
28.31105, 77.72635, WPT391
28.25916, 77.71673, WPT392
28.04379, 77.82373, WPT393
28.02178, 77.81541, WPT394
28.01870, 77.81775, WPT395
27.99565, 77.81036, WPT396
27.98104, 77.81327, WPT397
27.97049, 77.80783, WPT398
27.96824, 77.80202, WPT399
27.96422, 77.79662, WPT400
27.94613, 77.80436, WPT401
27.90630, 77.79980, WPT402
27.89502, 77.79466, WPT403
27.88395, 77.74952, WPT404
27.87487, 77.74542, WPT405
27.87370, 77.73977, WPT406
27.87346, 77.73713, WPT407
27.87039, 77.72851, WPT408
27.86508, 77.72302, WPT409
27.86246, 77.72888, WPT410
27.85728, 77.72962, WPT411
27.85855, 77.73477, WPT412
27.86126, 77.73563, WPT413
27.86333, 77.73813, WPT414
27.86721, 77.74139, WPT415
27.86899, 77.74362, WPT416
27.87477, 77.74546, WPT417
27.87284, 77.75014, WPT418
27.86343, 77.73790, WPT419
27.86025, 77.73458, WPT420
27.85802, 77.73381, WPT421
27.85758, 77.72942, WPT422
27.86120, 77.72867, WPT423
27.86504, 77.72232, WPT424
27.83846, 77.74028, WPT425
27.83389, 77.73485, WPT426
27.83026, 77.72988, WPT427
27.82877, 77.73227, WPT428
27.82310, 77.72804, WPT429
27.81884, 77.72142, WPT430
27.81132, 77.72000, WPT431
27.81128, 77.72059, WPT432
27.80811, 77.71956, WPT433
27.80859, 77.72261, WPT434
27.79756, 77.71561, WPT435
27.79728, 77.71622, WPT436
27.79492, 77.71517, WPT437
27.79301, 77.71675, WPT438
27.79135, 77.71482, WPT439
27.79165, 77.71700, WPT440
27.79123, 77.71770, WPT441
27.78977, 77.71614, WPT442
27.78870, 77.71565, WPT443
27.78271, 77.72132, WPT444
27.78190, 77.72263, WPT445
27.78147, 77.72424, WPT446
27.77880, 77.72776, WPT447
27.77717, 77.72699, WPT448
27.77663, 77.72914, WPT449
27.77730, 77.73029, WPT450
27.77890, 77.73002, WPT451
27.77883, 77.72803, WPT452
27.78055, 77.73260, WPT453
27.78154, 77.73353, WPT454
27.78253, 77.73694, WPT455
27.78387, 77.73701, WPT456
27.78388, 77.73568, WPT457
27.78391, 77.74138, WPT458
27.78639, 77.75343, WPT459
27.77778, 77.75292, WPT460
27.76793, 77.74943, WPT461
27.75892, 77.74163, WPT462
27.75772, 77.74177, WPT463
27.75671, 77.74101, WPT464
27.75682, 77.74174, WPT465
27.75103, 77.72891, WPT466
26.41199, 79.58051, WPT467
26.41012, 79.57441, WPT468
26.41378, 79.56989, WPT469
26.41891, 79.57021, WPT470
26.41784, 79.56391, WPT471
26.41640, 79.56086, WPT472
26.41787, 79.55758, WPT473
26.41761, 79.55629, WPT474
26.41989, 79.55464, WPT475
26.42217, 79.55610, WPT476
