,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
f1_score_mean,0.8113879003558717,0.8354264050764669,0.8315414667616849,0.8278806752020731,0.8343738549195242,0.8367753790817997,0.8323336212609609,0.8345984236125318,0.8275770426248504,0.8381598306931928,0.8469760839204266,0.8272860854879122,0.8446225091736459,0.8482682006348693,0.855799390093851,0.8550673423325206,0.8603902615927927,0.8573968759084065,0.8598344926898942,0.8573071222174924,0.8571028693056881,0.8635820562639329,0.8636962063429928,0.8638819287739377,0.8639137907335563,0.8672183543923788,0.8676724127357144,0.8667334104104851,0.8687508399711744,0.8691094046773001,0.8694921164505576,0.8708753137220491,0.8714224361768329,0.8741843612934461,0.8755709793779788,0.8746976146403531,0.8734719704086864,0.871942495390248,0.8763697084541651,0.8756753048153788,0.8772655104934278,0.8774267711494332,0.8778405525838362,0.8789216021115369,0.8814331576556119,0.8813430165357868,0.8821269855536128,0.8831940481024632,0.8856223253199811,0.8838530646665242,0.8839743313126809,0.8868991300250386,0.8854812268428536,0.8879055438444581,0.8860827859816272,0.8862857894683038,0.887302961881046,0.8898452837804619,0.8889510379146073,0.8887194626612119,0.8911198113187446,0.8933266592776044,0.8894916008074347,0.8915931192914659,0.8944874473861978,0.8943828597509247,0.8940628092177073,0.8957208684158182,0.8975423956576922,0.8941106631780888,0.8942916449325093,0.895122992017311,0.895493372223011,0.8985788288524486,0.8961841303306504,0.8965317177553498,0.8968846642373084,0.8975762121016413,0.8967186384402656,0.8974893531704078,0.896139886023789,0.8964643333299126,0.8954158747382183,0.8978444237408096,0.9023695021608645,0.9029124509869023,0.9023336708913616,0.9009557382250964,0.9018130672191462,0.900199724505223,0.9010766187948921,0.898050135118938,0.8997750648242693,0.9006754836539391,0.9022209474898674,0.9029548076364241,0.9019767053938418,0.9018960918398846,0.9029788689465231,0.9035962258143948
f1_score_sigma,0.0,0.0003487631962604912,0.003638190622179986,0.0047635306333284185,0.008531516030988569,0.008623811349739753,0.017259236760844007,0.014847943182217134,0.016765178987616446,0.01906165526729219,0.01352524316926999,0.028026527652207915,0.0258284264633887,0.02120235784512883,0.022209823925728487,0.021095962032666036,0.016244721488237177,0.021542967934787178,0.019274005992797508,0.023849091445085013,0.020692714191267798,0.01794268060434392,0.016625003460580153,0.019032292148711636,0.01948201437129362,0.017636451962035726,0.015495130840957076,0.016188986691676222,0.016816425869899447,0.017487326742358283,0.01650401016891111,0.014445927811626857,0.021107446330313424,0.018472849681396966,0.017527734493918624,0.023156041338810676,0.01785299544286805,0.01539461538005879,0.019409207395691807,0.01723847052042819,0.015466460315488257,0.015844532929692325,0.015820654548829853,0.0165731086489333,0.014677842402378441,0.01356709890670404,0.012150690993687464,0.012799315537924476,0.01532899520210753,0.013267626903983377,0.014759526144635193,0.014222798567214711,0.013885372495848489,0.01057106928935055,0.009943195211289418,0.01027519988347315,0.010837768389615404,0.013667329985573282,0.011136576564125861,0.012247691460048943,0.009318451573096388,0.009591494494273742,0.007443371144653831,0.005797362347450354,0.004838748680936198,0.006256014268950976,0.008205718191007471,0.009308698507237326,0.010022949127062938,0.008546121088920559,0.01023485059313574,0.00947514393415444,0.011366973536165602,0.008542603186280725,0.008152492231966455,0.009348295748921862,0.011608550271554649,0.01275349468160534,0.012025524198518716,0.012429099703863862,0.013616684045710684,0.014145967377782889,0.01524148553687531,0.012339392811941867,0.011237287566972225,0.008156720218885711,0.008289925712998395,0.012030688719902276,0.011639075201070359,0.014836502236475368,0.016019452443418666,0.017330166613829478,0.01617696329427758,0.016183570037394093,0.017070212002275664,0.017626770056441025,0.01577004624969171,0.01865192662608876,0.017641155044232262,0.018355863046284664
precision_mean,0.890625,0.845181224681129,0.8586136454226436,0.849310912629436,0.8510930234160504,0.8482221508260169,0.8501592489439729,0.842572711875488,0.8601360463936979,0.847922240329259,0.8295886014242553,0.8723935135909349,0.8479656332722432,0.8601830928825569,0.852561103405064,0.8491480683248019,0.8375464326156024,0.8549563282177719,0.8493065285066544,0.867848346920211,0.8554601575680252,0.8510076180907881,0.8306563790452106,0.8492333042959519,0.8486685019732384,0.8445363620020154,0.8371566458408048,0.8437307309555088,0.8526894000074254,0.840999589513884,0.8521799898425899,0.8454181521032107,0.8701441101444773,0.8529809936837719,0.8610818935385673,0.8594413991632097,0.848524308437983,0.8493071097338121,0.8633160618102392,0.8506942694721757,0.8542621237211566,0.8603990132131664,0.8541748177445067,0.8538264427304174,0.8526799293656566,0.8487113224654653,0.8486635636740921,0.8505382044683548,0.8514382165655325,0.8518045691928542,0.8516009846141401,0.8517899534586096,0.8452764465061258,0.8588512046326265,0.8541799118174023,0.8507194720065481,0.8544078928961719,0.8629797367899682,0.8631890442985679,0.8666481482966658,0.858279083857745,0.8566971853108907,0.8579980227740167,0.8603664115285692,0.8675337300482198,0.866193138297309,0.8677726552590006,0.8676050696289644,0.8697941739681392,0.8648852743607648,0.8638557148243777,0.8636692919479779,0.8666316152257899,0.8679295880990268,0.8644593429265391,0.8645397231752433,0.8645557150137397,0.8688828143200711,0.8619329064744206,0.8645032397345194,0.867451760580578,0.870211791974369,0.8684309644459605,0.8734821084767095,0.8733578841535063,0.8713110627675512,0.8701718731723359,0.8675783175204176,0.8711820956807376,0.8700174723907746,0.8695850099699374,0.8573024736267831,0.8601798923749702,0.8620676529760326,0.862962385587043,0.8654945338705382,0.864983051060743,0.8674801850711796,0.8695056672537769,0.8669865316433185
precision_sigma,0.0,0.01151540414313876,0.016221802143515776,0.015710341452080227,0.012881342085684058,0.016364952674732043,0.014075226884119198,0.011410969703400371,0.01783350261995596,0.013388628303558426,0.013532323223824295,0.0142154401795483,0.012312424656976824,0.013704238016413689,0.020821672840600956,0.022670222110900768,0.021141948148525106,0.020522756552937272,0.023269899933428925,0.009719845874812429,0.011246491728170629,0.014358366107678381,0.029008521867648275,0.028916361617901124,0.027651486670536404,0.02917314496142926,0.029556049854142966,0.03123168696307115,0.03247714048169263,0.03803504322891354,0.03825710973744402,0.0370573951175081,0.034345576911523144,0.03746817705250832,0.034723015914984924,0.03486662267048951,0.03815334434713356,0.03958495924049807,0.030662881672934468,0.03748062269350637,0.034889891023185376,0.03704361816311691,0.03805336776105754,0.036275224798949006,0.037507521934314246,0.034998468095738464,0.034076978749229325,0.03243280218452064,0.03294716010461486,0.026254973642314893,0.02943274059635783,0.0293442410691329,0.02826971256503034,0.028517143010737808,0.02655690572731825,0.02637888038577134,0.020083190973687142,0.018268747085175376,0.027921840254657444,0.02614264044005443,0.023196249225357932,0.02882979207542699,0.030960267000212736,0.02745052913177392,0.02787677999332879,0.029323657899150465,0.027395697531445162,0.032650676901260285,0.03204618474455747,0.031746520241068686,0.03169585838039548,0.03306423115915025,0.037844700818079786,0.034011658983282816,0.034669297868952384,0.03485703980721294,0.03506294284062219,0.03196479507842841,0.027878781049471134,0.030108980162312598,0.028046431363514347,0.027660042665319507,0.03175277973233763,0.02872768618772084,0.030268188282303887,0.025818156912237458,0.02478015173284006,0.026891649472777272,0.023791771735922108,0.03635932972629101,0.03872194098294297,0.043080083382859916,0.0344936814018054,0.03747436064081738,0.03497931443906104,0.0363598705717452,0.036670877512289694,0.04429215076687319,0.043003476543488364,0.040588628768315115
recall_mean,0.7450980392156863,0.8261437908496732,0.8065359477124183,0.807843137254902,0.818954248366013,0.8261437908496732,0.8163398692810457,0.8274509803921569,0.7986928104575162,0.8294117647058824,0.866013071895425,0.7882352941176469,0.8431372549019608,0.8379084967320262,0.8614379084967322,0.8633986928104577,0.8862745098039216,0.8614379084967322,0.8725490196078433,0.8483660130718954,0.8601307189542485,0.8777777777777779,0.9019607843137255,0.8816993464052288,0.8823529411764707,0.8934640522875817,0.9026143790849674,0.8934640522875817,0.8882352941176471,0.9019607843137255,0.8908496732026144,0.900653594771242,0.8764705882352942,0.8993464052287582,0.8934640522875817,0.8947712418300654,0.9032679738562093,0.8993464052287583,0.89281045751634,0.9052287581699348,0.9039215686274511,0.8973856209150328,0.9052287581699348,0.9078431372549021,0.9150326797385622,0.9189542483660131,0.9202614379084968,0.9202614379084968,0.9241830065359478,0.919607843137255,0.9202614379084968,0.9261437908496732,0.930718954248366,0.9202614379084968,0.9215686274509804,0.9261437908496732,0.9235294117647059,0.9189542483660131,0.9176470588235295,0.9130718954248367,0.9274509803921569,0.934640522875817,0.9254901960784314,0.9267973856209151,0.9248366013071896,0.9261437908496732,0.9235294117647059,0.9274509803921569,0.9287581699346406,0.9281045751633987,0.9294117647058824,0.9313725490196079,0.9294117647058824,0.9333333333333333,0.9326797385620915,0.9333333333333333,0.9339869281045752,0.9300653594771242,0.9359477124183007,0.934640522875817,0.9287581699346406,0.9261437908496732,0.9261437908496732,0.9254901960784314,0.934640522875817,0.9379084967320261,0.9379084967320261,0.9379084967320261,0.9352941176470588,0.9339869281045752,0.9366013071895425,0.9450980392156862,0.9444444444444444,0.9444444444444444,0.9464052287581699,0.9450980392156862,0.9437908496732026,0.9411764705882353,0.9411764705882353,0.9450980392156862
recall_sigma,0.0,0.010311250166622425,0.013144316452286135,0.011610381345947041,0.023676214356247786,0.018792033684398978,0.03572586193829403,0.02974474625860744,0.036168202125398036,0.03450941880465554,0.03190810134177952,0.04941261002992536,0.05300882379344856,0.04333267064209786,0.053614251556503796,0.05150559033946549,0.04238018794174411,0.04494569745787407,0.04520369046023183,0.048009441466978046,0.045720499832940034,0.04088088858169679,0.04507224589450372,0.049340513386258625,0.05043937648274604,0.043903971645238474,0.03927011473411713,0.042586880916866035,0.0464670693741601,0.04064217452326281,0.04632384160692174,0.038581165352816804,0.05767868420143105,0.04381198072418098,0.04632384160692174,0.06056879981644132,0.04670650002914724,0.045927662198000374,0.05120520974439244,0.044462596148057865,0.03799229462972666,0.03445435787001642,0.03420548685862216,0.03599059962314895,0.03957712881173193,0.03542566731882851,0.028372672062918904,0.029197151316341565,0.025814925043309178,0.02704510262951237,0.02752350622632462,0.022228629090518037,0.020015135647679014,0.023220762691894048,0.021567527095014524,0.023676214356247775,0.021797382898964286,0.023302382496071344,0.027071415367336097,0.025970741734528267,0.020771566773948612,0.024260411167015362,0.03278125119617259,0.028372672062918873,0.02861421685525861,0.02739386110501074,0.028414464208214578,0.02586085093808087,0.02567665449862499,0.04075879506289696,0.03833432234932074,0.035831991728537106,0.0402667191360276,0.025925010510925446,0.03275952496964181,0.03301210793006676,0.032817429610445384,0.03142847834747416,0.02935926889398344,0.027900323474652912,0.0372861034600375,0.036069642030851064,0.03580548877244904,0.03542566731882849,0.021567527095014475,0.019302881423387083,0.01905539834916762,0.0185505298103773,0.015543406520032225,0.018084101062699066,0.019740533838909464,0.023302382496071382,0.018031530890247133,0.018804658498509888,0.01681939787853493,0.01827989277856476,0.020015135647679035,0.020203961863825066,0.022217949950295395,0.019535086511076168
test_accuracy_mean,0.9041591286659239,0.9099457681179046,0.9095840871334075,0.9070524394512176,0.9101265847682953,0.9108499109745025,0.9092224299907684,0.9094032526016236,0.908137446641922,0.9115732312202454,0.9135623931884765,0.909403258562088,0.9146473824977874,0.917359858751297,0.920072340965271,0.9193490028381348,0.9206148266792298,0.9209764957427978,0.9215189814567566,0.9222423136234283,0.9209765017032623,0.9235081434249878,0.9213381588459015,0.9233273148536683,0.9233273029327392,0.9244122922420501,0.9238698065280915,0.9240506410598754,0.9258589506149292,0.9247739613056183,0.9260397911071777,0.9260397851467133,0.9287522614002228,0.9283905982971191,0.9298372566699982,0.929475599527359,0.9276672661304474,0.9269439518451692,0.9305605888366699,0.9289330840110779,0.9300180912017822,0.9305605888366699,0.9301989197731018,0.9307414054870605,0.931826400756836,0.9314647376537323,0.931826400756836,0.9325497329235077,0.9338155627250672,0.933092224597931,0.9330922305583954,0.9345388770103454,0.9332730531692505,0.9356238842010498,0.9343580424785614,0.9341772139072418,0.9350813746452331,0.9370705187320709,0.9365280270576477,0.9367088675498962,0.937251353263855,0.9381555199623108,0.9363471925258636,0.9376130163669586,0.9396021664142609,0.9394213378429412,0.9394213438034058,0.9401446640491485,0.9412296533584594,0.9392405092716217,0.9392405033111573,0.9396021664142609,0.939963835477829,0.9415913224220276,0.9401446640491485,0.9403254985809326,0.9405063331127167,0.941229659318924,0.9403255045413971,0.9408679962158203,0.9405063271522522,0.9408679962158203,0.940144670009613,0.9417721509933472,0.9439421415328979,0.9441229701042175,0.9437613129615784,0.9428571462631226,0.9435804724693299,0.9424954891204834,0.9428571462631226,0.9403254985809326,0.9415913224220276,0.9421338140964508,0.9430379748344422,0.9435804724693299,0.9430379748344422,0.9430379748344422,0.9437613070011139,0.9439421415328979
test_accuracy_mean,1.1702778228589004e-16,0.0011436791514518067,0.0025573490101207046,0.0032122758270368406,0.0031952565351568997,0.004514757709750494,0.007070710654154113,0.006517198705265177,0.006701357568996417,0.008628284300158223,0.006135264263079589,0.011671083602713073,0.01127039530503877,0.009832779197315277,0.010115098182850968,0.009801313860040501,0.008017107814576995,0.010545945523536437,0.009614179280243365,0.01101608233092268,0.009456047304976652,0.008526621705865496,0.00938662418885338,0.009875186787574628,0.009875179753687834,0.009749278581742859,0.009119607372966127,0.009259959275185263,0.009220656881590532,0.011055592862046666,0.009884375753093614,0.009509682693201887,0.010236495892794795,0.010956548404969475,0.009674450223546786,0.010883342103189253,0.010264849695558026,0.009228534643930225,0.009614179280243341,0.010052036889621358,0.009340057879412585,0.00994850083219547,0.010165262441777867,0.010266612282119973,0.009417543826168374,0.008795103121815149,0.008526620020405341,0.008611424947087493,0.010093522962335722,0.00822072350985565,0.009259977381539079,0.009212772123057537,0.009277604006340702,0.007192971017813688,0.006822255713110264,0.006883227136382503,0.006517198705265187,0.007756816193300717,0.007000980366879604,0.007431478381411566,0.006030749264372964,0.00670135899870913,0.005309877214870936,0.004367514039891199,0.003924973781021603,0.004915465942784056,0.005340582747437022,0.0067365057232926726,0.006938431389875267,0.0047615336139386335,0.006039766549335586,0.006099633136137661,0.007019132360978408,0.006438679366000384,0.005933564224955224,0.006492055072373413,0.007550314014756477,0.007824449236531767,0.0073824301561854575,0.007861501050100786,0.0074534558674113575,0.007815156728712944,0.008958832786003632,0.006967176711003037,0.007528621031398137,0.005683351735553655,0.005683352578422649,0.007822124579997806,0.007372582328983489,0.010043004190799334,0.0109565477491389,0.01199502011609871,0.010682850648631045,0.010916678751785576,0.011155366886676989,0.011430445614655473,0.010518333088798657,0.01241916893205194,0.011764107672495012,0.012055454651527584
